,code,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12
105,T1871,,,200.92,,,,,,,,,,,,205.02,,,,,,,,,,,,193.17,,,,,,,,,,,,153.78,,,,,,,,,,,,137.35,,,,,,,,,,,,128.51,,,,,,,,,
106,T1873,,,,,,,,,,119.78,,,,,,,,,,,,106.5,,,,,,,,,,,,96.79,,,,,,,,,,,,83.74,,,,,,,,,,,,75.19,,,,,,,,,,,,91.19,,
107,T1879,,,115.38,,,,,,,,,,,,82.9,,,,,,,,,,,,73.03,,,,,,,,,,,,59.99,,,,,,,,,,,,57.2,,,,,,,,,,,,50.76,,,,,,,,,
108,T1882,,,145.24,,,,,,,,,,,,119.96,,,,,,,,,,,,144.06,,,,,,,,,,,,148.31,,,,,,,,,,,,118.2,,,,,,,,,,,,108.46,,,,,,,,,
109,T1884,,,92.27,,,,,,,,,,,,79.05,,,,,,,,,,,,92.36,,,,,,,,,,,,91.75,,,,,,,,,,,,73.81,,,,,,,,,,,,69.51,,,,,,,,,
110,T1885,,,179.32,,,,,,,,,,,,191.82,,,,,,,,,,,,194.85,,,,,,,,,,,,213.46,,,,,,,,,,,,205.05,,,,,,,,,,,,190.98,,,,,,,,,
111,T1887,,,,,104.96,,,,,,,,,,,,159.45,,,,,,,,,,,,121.87,,,,,,,,,,,,88.41,,,,,,,,,,,,84.18,,,,,,,,,,,,79.29,,,,,,,
112,T1888,,,182.62,,,,,,,,,,,,183.91,,,,,,,,,,,,189.81,,,,,,,,,,,,177,,,,,,,,,,,,174.7,,,,,,,,,,,,183.9,,,,,,,,,
113,T1890,,,228.14,,,,,,,,,,,,221.22,,,,,,,,,,,,219.85,,,,,,,,,,,,164.1,,,,,,,,,,,,130.12,,,,,,,,,,,,128.9,,,,,,,,,
114,T1892,,,379.32,,,,,,,,,,,,338.71,,,,,,,,,,,,303.04,,,,,,,,,,,,321.93,,,,,,,,,,,,308,,,,,,,,,,,,237.35,,,,,,,,,
115,T1893,,,378.58,,,,,,,,,,,,307.68,,,,,,,,,,,,304.97,,,,,,,,,,,,226.74,,,,,,,,,,,,231.09,,,,,,,,,,,,218.89,,,,,,,,,
116,T1897,,,,,,,,,,,,14.82,,,,,,,,,,,,18.56,,,,,,,,,,,,12.56,,,,,,,,,,,,17.51,,,,,,,,,,,,16.55,,,,,,,,,,,,17.25
117,T1898,,,161.96,,,,,,,,,,,,142.61,,,,,,,,,,,,157.86,,,,,,,,,,,,129.02,,,,,,,,,,,,104.66,,,,,,,,,,,,103.54,,,,,,,,,
118,T1899,,,,,,,,,,,,126.33,,,,,,,,,,,,116.8,,,,,,,,,,,,97.95,,,,,,,,,,,,109.47,,,,,,,,,,,,92.01,,,,,,,,,,,,66.27
119,T1904,,,106.99,,,,,,,,,,,,88.18,,,,,,,,,,,,65.84,,,,,,,,,,,,91.45,,,,,,,,,,,,82.61,,,,,,,,,,,,54.06,,,,,,,,,
